이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
칰햄 돈부리,"칰햄 오리지널 1캔(200g), 간장 4T(40g), 양파 1개, 설탕 2T(20g), 계란 2개, 물 100ml, 대파 1대(80g), 오뚜기밥 2개, 청양고추 1개(10g), 고소한 참기름 1T, 옛날 볶음참깨 약간  ","일본식 덮밥을 지칭하는 ‘돈부리’는 밥그릇보다 더 큰 그릇을 뜻하며 줄여서 ‘동’으로 부르기도 합니다. 한국의 덮밥과 달리 비벼먹지 않고 밥 위에 재료를 얹어 즐기는 것을 추천합니다. 달걀을 풀어낸 소스와 칰햄으로 간편하고 맛있는 돈부리를 만들어보세요.

Step 1 대파와 청양고추는 송송 썰고 양파는 얇게 채 썬다.

Step 2 칰햄은 먹기 좋은 크기로 다이스하고 기름을 두르지 않은 후라이팬에 노릇하게 굽는다. Tip. 끓는 물에 데쳐도 좋습니다.

Step 3 작은 냄비에 참기름을 두르고 양파와 대파(1/2)를 볶는다.

Step 4 3번의 냄비에 간장, 설탕, 물을 넣고 끓인다.

Step 5 소스가 약간 졸아 자작해지면 계란물을 두른다.

Step 6 계란이 익기 시작할 때, 대파(1/2)와 청양고추를 더해 덮밥소스를 만든다.

Step 7 데운 오뚜기밥을 그릇에 담고 덮밥소스와 구운 칰햄을 얹은 후 깨를 뿌려 완성한다.","밥, 반찬","닭고기, 계란","볶음, 기타","스피드, 냉장고털이, 집밥, 도시락, 1인분, 부드러운 식감",,"후라이팬, 냄비"
닭고기크림스튜,"닭다리살 350g, 프레스코 카놀라유 2T(30g),마늘 2개(8g), 크림스프 40g, 양파 1개(200g), 우유 200ml, 당근 1/5개(30g), 물 200ml, 브로콜리 6조각(90g), 소금 약간, 양송이버섯 4개(80g), 순후추 약간","스튜와 빵이 생각날 때, 따뜻하게 달래줄 고소하고 따뜻한 닭고기 크림스튜로 맛있는 한끼를 즐겨보세요.

Step 1 닭다리살을 한 입 크기로 썰은 뒤 소금, 후추, 다진마늘을 넣어 밑간을 한다.

Step 2 준비한 채소를 닭고기와 비슷한 크기로 썬다.

Step 3 달군 팬에 카놀라유를 두르고 닭다리살을 노르스름 하도록 볶는다.

Step 4 팬에 채소를 넣고 닭다리살과 함께 볶는다.

Step 5 채소가 반쯤 익으면 물을 더해 완전히 익힌다.

Step 6 크림스프와 우유를 섞어 넣어준 뒤 잘 저어 끓여준 후 소금, 후추로 간하여 완성한다.Tip. 약간의 파슬리가루를 위에 뿌려 데코하면 좋습니다.","밥, 디저트","닭고기, 채소",기타,파티,크리스마스,"후라이팬, 냄비"
카레 치즈라면,"진라면 매운맛 1개(분말스프 1T), 3분카레(순한맛) 1봉, 슬라이스치즈 1장(20g), 물 550ml, 파슬리가루 약간 ","한국인의 소울푸드 진라면과 간편한 3분 카레가 만났어요. 진한 카레향이 더해진 라면에 고소한 슬라이스치즈 톡 올려주면 카레 치즈라면 완성! 바쁜 일상 속, 손쉽게 구할 수 있는 재료들로 간편하면서도 색다른 라면을 즐겨보는 건 어떠세요?

Step 1 끓는 물에 진라면 매운맛 분말 스프 1큰술, 건더기 스프를 넣고 끓인다.

Step 2 위의 국물에 면을 넣고 2분간 끓인다.

Step 3 3분 카레를 넣고 1분간 더 끓여준다.

Step 4 그릇에 담아 슬라이스치즈와 파슬리가루를 올려 완성한다.","밥, 국물, 면, 분식","쇠고기, 채소, 유제품, 기타",국탕찌개,"스피드, 야식, 1인분, 해장, 간단 꿀조합",카레데이,냄비
돈까스 김밥,"등심돈까스 1개(100g), 참깨 돈까스소스 2T(30g), 오뚜기밥 1개(210g), 단무지 40g, 계란 2개, 생와사비 약간, 소금 1g, 고소한 참기름 1t(3g), 골드마요네스 1T(15g), 로메인 4장(40g), 식용유 약간(유탕용), 김밥용 김 2장(6g)","바삭하게 튀긴 돈까스를 넣고 잘 말아준 인기만점 김밥! 도톰한 등심 돈까스에 고소한 마요네스와 달짝지근한 돈까스소스가 어우러져 남녀노소 누구나 좋아하는 메뉴에요. 든든한 한 끼로도, 소풍 도시락으로도 최고! 돈까스 김밥에 도전해보세요.

Step 1 등심돈까스를 180도로 예열한 식용유에 5분간 튀긴다.

Step 2 튀긴 등심돈까스는 세로로 4등분해 준비한다.

Step 3 계란은 곱게 풀고 소금으로 간을 한 후 참기름을 두른 후라이팬에 구워 두툼한 지단을 만든다.

Step 4 오뚜기밥을 전자레인지 조리하고 참기름과 참깨 돈까스소스를 섞어 양념한다.

Step 5 김밥용 김에 양념한 밥을 올리고 깨끗하게 손질한 로메인과 등심돈까스 2조각, 단무지 1줄, 길게 자른 지단 1줄을 더한다.

Step 6 재료 위로 약간의 참깨 돈까스소스와 마요네스를 길게 뿌려준다.

Step 7 김밥을 돌돌 말고 먹기 좋게 잘라 완성한다. Tip. 생와사비는 기호에 맞게 더해 드시면 좋습니다!","밥, 분식","돼지고기, 채소, 계란, 기타","구이, 튀김, 기타","냉장고털이, 집밥, 도시락",,후라이팬
참치두부유부초밥,"초밥용 유부 6장, 두부 1/3모 100g, 파프리카 1/3개, 브로콜리 1/8개, 오뚜기 참치 ½캔(75g), 오뚜기 고소한 소이마요 1T","Step 1 두부는 깨끗한 면포에 물기를 제거한다.

Step 2 파프리카와 데친 브로콜리는 작게 다이스해 두부와 잘 섞는다.

Step 3 유부에 베어있는 양념을 짜낸 후 두부 소를 채운다.

Step 4 오뚜기 참치에 소이마요를 섞어 두부 소를 채운 유부초밥에 얹어 완성한다.",밥,기타,기타,"스피드, 브런치, 캠핑, 도시락, 1인분, 키즈셰프, 키즈푸드, 부드러운 식감",,기타
쭈꾸미밥버거,"오늘밥상1/4봉(30g), 밥친구(김자반)1봉(7g), 오징어낙지볶음양념, , 쭈꾸미1마리(65g), 계란1개(60g), 양파1/10개(20g), 슬라이스 치즈1장(20g), 대파1/8대(10g), 당근1/8개(20g), 맛있는 오뚜기밥1개(210g), 프레스코 카놀라유1T(10g), 적상추3장(20g), 옛날 볶음참깨1t","Step 1 당근과 대파, 양파는 작게 다이스한다.

Step 2 쭈꾸미는 내장을 제거하고 먹기 좋은 크기로 잘라 손질한다.

Step 3 후라이팬에 카놀라유를 두르고 당근과 대파, 양파를 볶다가 쭈꾸미와 오징어낙지볶음양념을 더해 쭈꾸미볶음을 만든다.

Step 4 오뚜기밥은 전자레인지 조리한 후 밥친구를 섞는다.

Step 5 랩을 깔고 밥, 적상추, 쭈꾸미볶음, 치즈, 밥 순으로 쌓은 후 랩을 감싸 밥버거 모양을 잡는다.

Step 6 랩을 벗겨 그릇에 담은 후 깨를 뿌려 완성한다.","밥, 분식, 기타",해물,"볶음, 기타","도시락, 1인분",,"후라이팬, 기타"
토마토 해물 빠에야,"오리지널 카레파우더 2g, 냉동해물모둠	150g, 프레스코 압착올리브유 2T(20g), 다진마늘 1/2T(7g), 프레스코 토마토 스파게티소스 100g, 맛있는 오뚜기밥 1개(210g), 양파 1/2개(100g), 방울토마토 5개(50g), 미향 발효맛술 1T(10g), 소금 1/2t(1g), 바질 잎 약간","빠에야는 고기, 해산물, 채소를 넣고 볶은 후 물을 부어 끓이다 쌀을 넣어 익힌 스페인의 전통 쌀 요리입니다. 보통 샤프란이라는 향신료를 많이 사용하지만 카레 파우더를 활용하면 보다 쉽게 우리에게 익숙한 요리로 완성할 수 있습니다. 주말에 가족들과 함께 빠에야로 세계 요리에 도전 해 보는것은 어떨까요?

Step 1 양파는 작게 다지고 방울토마토는 4등분 한다.

Step 2 깊은 후라이팬에 올리브유(1T)를 두르고 다진마늘과 양파, 방울토마토를 더해 볶는다.

Step 3 다진마늘의 향이 올라오면 냉동해물모둠을 넣고 맛술을 더해 강한 불에 빠르게 익힌다.

Step 4 해물이 어느정도 익으면 조리하지 않은 오뚜기밥을 부숴 넣어 볶는다.

Step 5 밥알이 낱낱이 흩어지면 토마토 스파게티소스와 카레파우더, 소금을 더해 볶는다.

Step 6 소스가 잘 어우러지게 볶아졌다면, 그릇에 담고 바질 잎을 올린 후 올리브유(1T)를 둘러 완성한다.",밥,해물,볶음,"스피드, 파티","생일, 카레데이",후라이팬
오므라이스,"토마토케챂 3T(30g), 돈까스소스 470g 4T(40g), 오뚜기밥 210g 1개(210g), 계란 2개, 애호박 1/6개(40g), 양파 1/8개(25g), 당근 1/6개(20g), 올리고당 1T(10g), 골드마요네스 약간(10g), 소금	약간, 프레스코 카놀라유1T(10g), 물 3T(30g), 순후추 약간","Step 1 냄비에 물, 돈까스소스, 케챂(2T), 올리고당을 넣고 약불에서 걸쭉하게 끓여 소스를 준비한다.

Step 2 양파와 애호박, 당근은 모두 작게 다이스하고 카놀라유를 두른 후라이팬에 볶는다.

Step 3 야채가 거의 익으면 소금과 순후추, 케챂(1T)으로 간을 하고 조리하지 않은 오뚜기밥을 부숴 볶는다.

Step 4 볼에 계란을 풀어 주고 예열된 팬에 기름을 둘러 지단을 굽는다.

Step 5 접시에 계란 지단을 올린 후 볶은 밥을 지단의 절반에 담아내어 지단으로 덮고 소스를 더해 완성한다. * 마요네스 또는 케챂을 위에 더해도 좋습니다!",밥,,,,,
마라계란덮밥,"계란4개, 맛있는 오뚜기밥 1개(210g), 이금기 훠궈마라탕소스 1T(20g), 프레스코 포도씨유 5T(70ml), 이금기 중화시즈닝 맛간장 2T(16g), 미향 발효맛술 1T(10g), 오뚜기 옛날참기름 1/2T(3g), 양파 1/4개(50g), 옛날 볶음참깨 1T(3g), 설탕 1T(8g), 다진 마늘, 순후추, 대파, 소금","계란의 고소함과 마라 계란소스의 매콤달달함이 만난 꿀조합 계란 덮밥._x000D_ 파우치 마라소스, 계란으로 초간단하게 완성되는 한 그릇 요리.

Step 1 양파와 대파를 작게 다이스한다.

Step 2 훠궈마라탕소스, 맛간장, 맛술, 참기름, 다진마늘, 후추, 설탕과 깨를 부숴 섞어 양념장을 만든다.

Step 3 계란 4개는 소금을 더해 미리 풀어주고 깊은 후라이팬에 포도씨유를 부은 후 대파, 양파와 함께 휘휘 저어 익힌다.

Step 4 오뚜기밥을 전자레인지 조리해 그릇에 담고 촉촉하게 익힌 계란을 위에 덮고 준비한 소스를 더해 완성한다.",밥,계란,기타,"스피드, 야식, 1인분, 간단 꿀조합",,후라이팬
규동,"소고기(등심) 65g, 양파1개(200g), 감자전분1T(15g), 맛있는 오뚜기밥1개(210g), 미향 발효맛술 2T(20g), 이금기 굴소스 2T(20g), 다시마식초 1T(8g), 물 2T(20g), 설탕1/2T(4g), 프레스코 카놀라유1T(10g)","Step 1 소고기는 한 입 크기로 잘라 감자전분을 묻힌다. 양파는 채 썬다.

Step 2 굴소스와 맛술, 설탕, 식초, 물을 섞어 양념장을 준비한다.

Step 3 달군 후라이팬에 (기름없이) 양파를 넣어 수분을 날리고 연한 갈색이 될 때까지 볶아 잠시 그릇에 둔다.

Step 4 후라이팬에 카놀라유를 두르고 전분 묻힌 고기를 굽는다.

Step 5 고기가 거의 다 익으면 볶아둔 양파와 준비한 양념장을 더해 살짝 끓인다.

Step 6 오뚜기밥을 전자레인지 조리해 그릇에 담은 후 위에 고기와 양파를 더해 완성한다. * 노른자 하나를 더해 함께 먹어도 좋습니다!",밥,쇠고기,,,,
